Country,PaymentCount,PaymentAmount,VatAmount,BusinessVatAmount
AE,24,507.75,0.0,0.0
AL,7,139.35,0.0,0.0
AM,114,284.2,0.0,0.0
AR,4,326.9,0.0,0.0
AT,268,5290.65,881.39,0.0
AU,7,219.1,0.0,0.0
AZ,7,111.65,0.0,0.0
BA,5,76.5,0.0,0.0
BE,51,1487.84,258.16,0.0
BG,10,219.0,37.99,0.0
BM,2,59.8,0.0,0.0
BR,40,840.94,0.0,0.0
BY,6,71.58,0.0,0.0
CA,14,231.67,0.0,0.0
CH,226,4138.19,0.0,0.0
CL,3,99.7,0.0,0.0
CN,20,547.9,0.0,0.0
CO,5,129.4,0.0,0.0
CR,1,19.9,0.0,0.0
CY,19,368.57,58.86,0.0
CZ,2204,44577.5,7734.37,4.18
DE,484,10471.78,1672.09,0.0
DK,90,1786.0,357.2,0.0
DO,3,158.8,0.0,0.0
EE,11,246.8,41.14,0.0
EG,1,29.9,0.0,0.0
ES,172,3847.34,667.52,4.18
FI,14,290.5,56.24,0.0
FR,235,5815.92,969.36,0.0
GB,425,9591.95,0.0,0.0
GE,4,103.5,0.0,0.0
GR,578,4291.88,830.88,5.75
HK,11,336.95,0.0,0.0
HN,1,19.9,0.0,0.0
HR,104,2110.5,422.1,4.48
HU,44,1105.0,234.9,0.0
ID,1,9.9,0.0,0.0
IE,36,750.2,140.24,0.0
IL,41,1134.5,0.0,0.0
IN,11,163.08,0.0,0.0
IS,13,278.7,0.0,0.0
IT,260,5899.96,1064.25,0.0
JP,5,139.4,0.0,0.0
KE,1,19.9,0.0,0.0
KG,12,108.08,0.0,0.0
KR,3,89.7,0.0,0.0
KY,1,9.9,0.0,0.0
KZ,115,907.12,0.0,0.0
LB,1,19.9,0.0,0.0
LI,2,35.8,0.0,0.0
LT,366,5180.5,900.19,7.52
LU,19,425.9,58.67,0.0
LV,14,229.5,39.85,0.0
MA,10,248.95,0.0,0.0
MD,3,69.7,0.0,0.0
ME,1,1.8,0.0,0.0
MK,5,109.5,0.0,0.0
MT,4,94.6,14.44,0.0
MX,9,462.8,0.0,0.0
MY,1,39.9,0.0,0.0
MZ,3,59.7,0.0,0.0
NL,113,2757.99,478.54,0.0
NO,87,1813.79,0.0,0.0
NZ,3,69.6,0.0,0.0
PA,2,39.8,0.0,0.0
PE,2,69.8,0.0,0.0
PK,31,120.0,0.0,0.0
PL,155,3410.55,637.61,0.0
PT,66,1274.35,238.22,11.46
PY,1,9.95,0.0,0.0
QA,2,59.8,0.0,0.0
RO,15,334.5,53.41,0.0
RS,34,890.44,0.0,0.0
SE,32,698.6,139.72,0.0
SG,2,59.8,0.0,0.0
SI,510,11938.15,2153.02,17.32
SK,107,2586.85,431.15,0.0
SR,1,19.9,0.0,0.0
SV,1,19.9,0.0,0.0
TH,1,29.9,0.0,0.0
TJ,6,55.84,0.0,0.0
TR,41,563.45,0.0,0.0
TW,40,1285.9,0.0,0.0
UA,19,386.63,0.0,0.0
US,96,2303.13,0.0,0.0
UY,1,29.9,0.0,0.0
UZ,323,1820.04,0.0,0.0
VN,1,9.9,0.0,0.0
ZA,1,29.9,0.0,0.0
